Variable Name,Variable ALSPAC Name,Variable Description,Variable Type,Administered to,Age of child at administration,ALSPAC Measure,ALSPAC Responses,Processing Details,Reference Document
,,,,,,,,,
alon_week,ccs1006,Average time child spent per day doing things by yourself on a typical weekday,Ordinal,Child,16.5,"""How much time on average do you spend each day doing things by yourself on a typical weekday?""",Not at all,"The category ""Not at all"" was collapsed into the ""Less than 1 hour"" category",
alon_wend,ccs1026,Average time child spent per day doing things by yourself on a typical weekend day,Ordinal,Child,16.5,"""How much time on average do you spend each day .... with other young people ... on a typical weekend day?""",Not at all,"The category ""Not at all"" was collapsed into the ""Less than 1 hour"" category",
anx_band_15,fh6877,Child's has any anxiety disorder (DAWBA band prediction),Ordinal,Clinic,15.5,Derived by ALSPAC. See Processing Details,,Any anxiety disorder was determined using the DAWBA. The child completed the computerised questions and an ordered categorical measure of any anxiety disorder with 6 categories was derived using computer algorithms. The categories are probability bands and indicate the likelihood of the child having any anxiety disorder. The categories range from <0.1% (0.1% children in this band have any anxiety disorder) to > 70% (>70% of children in this band have any anxiety disorder). See Goodman2011 for more details.,Goodman2011.pdf
child_bull,ccs2200,Child has experienced bullying by another person since the age of 12,Nominal,Child,16.5,Did this happen to you since you were aged 12... Bullying by another person?,Yes,None,
comp_house,tc3131,Computer without internet access is in the study child's house but not in the study child's room,Nominal,Caregiver,16.5,"Which of these things, if any, are (i) more or less permanently in her/his room, (ii) do you have elsewhere in the house, (iii) have you bought in the last 6 months, or
(iv) intend to buy in the next 6 months (You can mark more than one box on each
line) ... computer without internet access?",In her/his room,"ALSPAC coded ""Have in house"" responses as ""Yes""",
comp_int_bed_16,tc3120,Computer with internet access is more or less permanently study child's room,Nominal,Caregiver,16.5,"Which of these things, if any, are (i) more or less permanently in her/his room, (ii) do you have elsewhere in the house, (iii) have you bought in the last 6 months, or
(iv) intend to buy in the next 6 months (You can mark more than one box on each
line) ... computer with internet access",In her/his room,"ALSPAC coded ""In his/her room"" responses as ""Yes""",
comp_noint_bed_16,tc3130,Computer without internet access is more or less permanently in study child's room,Nominal,Caregiver,16.5,"""Which of these things, if any, are (i) more or less permanently in her/his room, (ii) do you have elsewhere in the house, (iii) have you bought in the last 6 months, or
(iv) intend to buy in the next 6 months (You can mark more than one box on each
line) ... computer without internet access?""",In her/his room,"ALSPAC coded ""In his/her room"" responses as ""Yes""",
comp_week,ccs1010,Average time child spent per day using a computer on a typical weekday,Ordinal,Child,16.5,How much time on average do you spend each day ... using a computer ... on a typical weekday?,Not at all,None,
comp_wend,ccs1030,Average time child spent per day using a computer on a typical weekend day,Ordinal,Child,16.5,How much time on average do you spend each day ... using a computer ... on a typical weekend day?,Not at all,None,
dep_band_15,fh6876,Child has depression (DAWBA band prediction),Ordinal,Clinic,15.5,Derived by ALSPAC. See Processing Details,,Depression was determined using the DAWBA. The child completed the computerised questions and an ordered categorical measure of depression with 6 categories was derived using computer algorithms. The categories are probability bands and indicate the likelihood of the child having depression. The categories range from <0.1% (0.1% children in this band have depression) to > 70% (>70% of children in this band have depression). See Goodman2011 for more details.,Goodman2011.pdf
dep_score,FJCI350,Child's depression score on CIS-R.,Ordinal,Clinic,17.5,Derived by ALSPAC. See Processing Details,,"Higher scores indicate higher levels of depressive symptomatology.  They were scored following: +1 if less/no enjoyment with life during the past week, +1 if depressed for >3day in past week, +1 if depressed for >3hr in any day of past week, +1 if unable to be cheered up. See CIS-R Descriptive Summary for details.",CIS-R_descriptive_summary.doc
dep_thoughts,FJCI363,Child's number of depressive thoughts on CIS-R.,Ordinal,Clinic,17.5,Derived by ALSPAC. See Processing Details,,"Higher scores indicate higher levels of depressive thoughts. There were scored following: +1 if feelings of needless guilt, +1 if feelings of low self-esteem, +1 if feelings of hopelessness, +1 if felt that life not worth living, +1 if thought seriously about suicide. See CIS-R Descriptive Summary for details.",CIS-R_descriptive_summary.doc
draw_week,ccs1005,Average time child spent per day drawing/making/constructing things on a typical weekday,Ordinal,Child,16.5,"How much time on average do you spend each day ... drawing, making, constructing things  ... on a typical weekday?",Not at all,"The categories ""1-2 hours"" & ""3 or more hours"" were combined to form the new category ""1 or more hours""",
draw_wend,ccs1025,Average time child spent per day drawing/making/constructing things on a typical weekend day,Ordinal,Child,16.5,"How much time on average do you spend each day ... drawing, making, constructing things  ... on a typical weekend day?",Not at all,"The categories ""1-2 hours"" & ""3 or more hours"" were combined to form the new category ""1 or more hours""",
exercise,ccs5510,Frequency during the past year study child did exercise,Ordinal,Child,16.5,"During the past year, how often did you do any exercise (going to the gym, brisk
walking or any sports activity)?",Never,None,
has_dep_diag,FJCI1001,Child has ICD-10 diagnosis of depression,Nominal,Clinic,17.5,Derived by ALSPAC. See Processing Details,,Calculated from their Revised Computerised Interview Schedule (CIS-R) score. See CIS-R Descriptive Summary for more information.,CIS-R_descriptive_summary.doc
height_16,fh3000,Child's height (cm),Continuous,Clinic,15.5,Height recorded by clinician.,,None,
musi_week,ccs1009,Average time child spent per day playing musical instruments on a typical weekday,Nominal,Child,16.5,How much time on average do you spend each day... playing musical instruments ... on a typical weekday?,Not at all,"The categories ""Less than 1 hour"", ""1-2 hours"" and ""3 or more hours"" were combined and recoded to form the new category ""Any at all""",
musi_wend,ccs1029,Average time child spent per day playing musical instruments on a typical weekend day,Nominal,Child,16.5,How much time on average do you spend each day .... playing musical instruments ... on a typical weekend day?,Not at all,"The categories ""Less than 1 hour"", ""1-2 hours"" and ""3 or more hours"" were combined and recoded to form the new category ""Any at all""",
out_sum_week,ccs1001,Average time child spent per day out of doors in summer on a typical weekday,Ordinal,Child,16.5,How much time on average do you spend each day... out of doors in summer ... on a typical weekday?,Not at all,"The categories ""Not at all"", ""Less than 1 hour"" and ""1-2 hours"" were combined and recoded to form the new category ""Less than 3 hours"" ",
out_sum_wend,ccs1021,Average time child spent per day out of doors in summer on a typical weekend day,Ordinal,Child,16.5,How much time on average do you spend each day... out of doors in summer ... on a typical weekend day?,Not at all,"The categories ""Not at all"", ""Less than 1 hour"" and ""1-2 hours"" were combined and recoded to form the new category ""Less than 3 hours"" ",
out_win_week,ccs1002,Average time child spent per day out of doors in winter on a typical weekday,Ordinal,Child,16.5,How much time on average do you spend each day... out of doors in winter ... on a typical weekday?,Not at all,"The category ""Not at all"" was collapsed into the ""Less than 1 hour"" category",
out_win_wend,ccs1022,Average time child spent per day out of doors in winter on a typical weekend day,Ordinal,Child,16.5,How much time on average do you spend each day... out of doors in winter ... on a typical weekend day?,Not at all,"The category ""Not at all"" was collapsed into the ""Less than 1 hour"" category",
panic_score,FJCI550,Child's panic score on CIS-R.,Ordinal,Clinic,17.5,Derived by ALSPAC. See Processing Details,,"Higher scores indicate higher levels of panic symptomatology. They were scored following: +1 if panic occurred once in past week, +1 if panic occurred more than once in past week, +1 if panic attack lasted longer than 10 mins, +1 if panic attack was very unpleasant. See CIS-R Descriptive Summary for details.",CIS-R_descriptive_summary.doc
play_week,ccs1004,Average time child spent per day with other young people on a typical weekday,Ordinal,Child,16.5,How much time on average do you spend each day... with other young people ... on a typical weekday?,Not at all,"The categories ""Not at all"", ""Less than 1 hour"" and ""1-2 hours"" were combined and recoded to form the new category ""Less than 3 hours"" ",
play_wend,ccs1024,Average time child spent per day with other young people on a typical weekend day,Ordinal,Child,16.5,How much time on average do you spend each day .... with other young people ... on a typical weekend day?,Not at all,"The categories ""Not at all"", ""Less than 1 hour"" and ""1-2 hours"" were combined and recoded to form the new category ""Less than 3 hours"" ",
prim_diag,FJCI600,Child's primary diagnosis in accordance with ICD-10 criteria.,Discrete,Clinic,17.5,Derived by ALSPAC. See Processing Details.,,"Primary diagnosis was determined using the CIS-R. 0 = none, 1 = mild neurosis, 2 = mild GAD, 3 = OCD, 4 = mixed anxiety and depression, 5 = specific phobia, 6 = social phobia, 7 = agoraphobia, 8 = GAD, 9 = panic disorder, 10 = mild depression, 11 = moderate depression, 12 = severe depression",
read_week,ccs1008,Average time child spent per day reading books for pleasure on a typical weekday,Ordinal,Child,16.5,How much time on average do you spend each day ... reading books for pleasure ... on a typical weekday?,Not at all,"The categories ""1-2 hours"" & ""3 or more hours"" were combined to form the new category ""1 or more hours""",
read_wend,ccs1028,Average time child spent per day reading books for pleasure on a typical weekend day,Ordinal,Child,16.5,How much time on average do you spend each day ... reading books for pleasure ... on a typical weekend day?,Not at all,"The categories ""1-2 hours"" & ""3 or more hours"" were combined to form the new category ""1 or more hours""",
