,word,count
0,outside,2
1,who,1
2,digital,2
3,account,1
4,encryption,1
5,beginning,1
6,enough,1
7,were,2
8,trust,1
9,commissioner,2
10,hrefhttpswwwtheguardiancomtechnology2021jan16shouldyoukeepusingwhatsappplusfivetipstostarttheyearwithyourdigitalprivacyintactshould,1
11,and,15
12,two,1
13,three,1
14,disinformation,1
15,february,1
16,accessing,1
17,ended,1
18,such,1
19,at,1
20,uks,1
21,information,7
22,membership,1
23,several,1
24,globally,1
25,apps,2
26,writing,1
27,hand,2
28,up,3
29,respected,1
30,weeks,1
31,trustworthiness,1
32,buy,1
33,plans,2
34,some,1
35,uses,1
36,whatsappa,1
37,authoritys,1
38,apply,1
39,take,1
40,falls,1
41,beneficiaries,1
42,doing,1
43,plus,1
44,onestopshop,1
45,panic,2
46,protection,2
47,can,1
48,period,2
49,far,1
50,job,1
51,left,1
52,an,2
53,avoid,1
54,policy,1
55,uk,2
56,that,13
57,virtual,1
58,office,2
59,downloaded,1
60,user,4
61,ironically,1
62,how,1
63,negotiated,1
64,even,1
65,most,1
66,has,1
67,does,3
68,responsible,1
69,voted,1
70,competitor,1
71,july,1
72,one,1
73,messaging,1
74,gdpr,2
75,agreement,2
76,is,4
77,read,2
78,implement,1
79,first,2
80,committee,2
81,harms,1
82,not,9
83,privacyfocused,1
84,company,1
85,summer,1
86,whether,1
87,if,1
88,could,2
89,you,1
90,sport,1
91,hrefhttpswwwtheguardiancomtechnology2021jan24whatsapplosesmillionsofusersaftertermsupdateuser,1
92,commissioners,1
93,on,5
94,regulator,1
95,activity,1
96,which,3
97,subcommittee,1
98,whats,1
99,spent,1
100,denham,3
101,had,1
102,revealed,1
103,kept,1
104,she,3
105,transition,2
106,culture,1
107,its,3
108,concerned,2
109,spanrelated,1
110,aside,2
111,terms,3
112,intacta,1
113,to,24
114,big,1
115,app,2
116,worldwide,1
117,new,2
118,around,1
119,privacy,2
120,year,2
121,desired,1
122,keep,1
123,spread,2
124,companies,1
125,by,4
126,of,12
127,as,5
128,britain,2
129,really,1
130,spelled,1
131,my,2
132,allow,1
133,now,3
134,misinformation,1
135,or,4
136,for,5
137,requirement,1
138,i,1
139,forthcoming,1
140,the,47
141,hear,1
142,prevents,1
143,itself,1
144,nor,1
145,however,1
146,told,2
147,each,1
148,contact,1
149,service,3
150,irish,3
151,eu,3
152,but,2
153,announced,1
154,facebook,9
155,1000,1
156,oversee,1
157,a,4
158,those,2
159,personal,1
160,either,1
161,continue,1
162,have,4
163,million,1
164,authority,1
165,online,1
166,elizabeth,1
167,interesting,1
168,they,4
169,was,8
170,five,1
171,calls,1
172,includes,1
173,about,2
174,are,1
175,expect,1
176,alternatives,1
177,suddenly,1
178,european,1
179,chat,1
180,would,1
181,colleague,1
182,using,1
183,contents,1
184,prove,1
185,sign,1
186,because,1
187,millions,2
188,classelement,1
189,gained,1
190,when,1
191,committed,1
192,also,1
193,advertising,1
194,platform,1
195,signal,5
196,think,1
197,declaring,1
198,data,4
199,thats,2
200,chair,1
201,long,1
202,meant,1
203,changed,1
204,2017,3
205,substantial,1
206,country,1
207,announcement,1
208,feet,1
209,changes,2
210,more,1
211,sharing,1
212,8,1
213,explicitly,1
214,over,1
215,complied,1
216,1,2
217,show,1
218,tips,1
219,time,1
220,exodus,1
221,began,1
222,existing,1
223,many,1
224,arrangements,1
225,message,1
226,asked,1
227,ensuring,1
228,fully,1
229,sustainability,1
230,elementrichlink,1
231,january,3
232,demand,1
233,delayed,1
234,datasharing,1
235,region,1
236,telegram,3
237,it,4
238,enforced,1
239,change,2
240,recent,1
241,than,1
242,whatsapps,1
243,been,1
244,messages,2
245,example,1
246,in,10
247,their,2
248,any,2
249,said,2
250,75,1
251,made,1
252,top,1
253,maintain,1
254,early,2
255,case,1
256,until,4
257,ongoing,1
258,start,1
259,endtoend,1
260,claim,1
261,out,1
262,contract,1
263,days,1
264,promises,2
265,agreed,1
266,so,2
267,parliamentary,1
268,being,2
269,we,1
270,her,1
271,users,11
272,spana,1
273,your,3
274,between,1
275,whatsapp,13
276,others,1
277,share,2
278,among,1
279,applied,1
280,from,2
281,with,9
282,brexit,1
283,added,2
284,neither,1
285,there,2
286,media,1
287,concern,1
288,caused,1
289,elementthumbnail,1
